,game,code,award,recent
0,genshin,WAM5UWWU28NV,60 primogems and five adventurer’s experience,new
1,genshin,SDKLSK67TZ1X,"10k mora, ten adventurer’s experience, five fine enhancement ore, and three seasoned fangs",new
2,genshin,ACUI96V85FCK,"10k mora, ten adventurer’s experience, five fine enhancement ore, and three seasoned fangs",new
3,genshin,FIBE54PL5995,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",new
4,genshin,LA5E77CLZX5V,60 primogems and five five adventurer’s experience,new
5,genshin,GENSHINGIFT,50 primogems and three hero’s wit (this code works periodically),new
6,genshin,GENSHIN52X8399,"30k mora, three vayuda turquoise slivers, three hero’s wit, three guides to kindling, and five mystic enhancement ore",old
7,genshin,PAGG9M78TJBQ,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
8,genshin,HVQAUTYB8NKE,"20k mora, 15 adventurer’s experience, and ten fine enhancement ore",old
9,genshin,UTLO4OA55PA7,"10k mora, five adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
10,genshin,EMVDL6W28D8A,"10k mora, five adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
11,genshin,SVMCJ1398A18,"10k mora, five adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
12,genshin,HVDLLZ29Y26W,"10k mora, three brilliant chrysanthemums, ten adventurer’s experience, and five fine enhancement ore",old
13,genshin,PPBL281426WC,"10k mora, three kalpalata lotus, ten adventurer’s experience, and five fine enhancement ore",old
14,genshin,AEXK6S4U93CF,"10k mora, three brilliant chrysanthemums, ten adventurer’s experience, and five fine enhancement ore",old
15,genshin,WTXV36M1J6CO,"three brilliant chrysanthemums, 10k mora, ten adventurer’s experience, and five fine enchantment ore",old
16,genshin,SBUEMJB449D9,"three brilliant chrysanthemums, 10k mora, ten adventurer’s experience, and five fine enchantment ore",old
17,genshin,MTLF6DKA7PQZ,"39k mora, three tatacos, three grainfruit chips, and three cup o’ grainfruit",old
18,genshin,UB4XPUJS77QD,"20k mora, five brilliant chrysanthemums, five hero’s wit, and three prithiva topaz sliver",old
19,genshin,DEOB21CK9Y6N,"three brilliant chrysanthemums, 10k mora, ten adventurer’s experience, and five fine enchantment ore",old
20,genshin,DT4BZD5RT5U9,60 primogems and five adventurer’s experience,old
21,genshin,6ALMWAVKLK35,100 primogems and ten mystic enhancement ore,old
22,genshin,7TLMXSD243JR,100 primogems and five hero’s wit,old
23,genshin,JS45ETDJLKMD,100 primogems and 50k mora,old
24,genshin,HHFP3517D3UN,"10k mora, ten adventurer’s experience, five fine enhancement ore, and three varunada lazurite sliver",old
25,genshin,KEQES9R79R49,"10k mora, ten adventurer’s experience, five fine enhancement ore, and three varunada lazurite sliver",old
